GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
9000,Connecticut,2,  Private industries,238218.8,243930.5,246094,247681.1,249535.1,249913.6,254746.6,255536,258738.5,260810.9,262189,263461.2,256072.3,231666,252017.3,255390.2
9000,Connecticut,3,"      Agriculture, forestry, fishing and hunting",330.1,345.9,354.2,354.3,326.2,327,321.6,309.1,343.5,342.1,342.5,334.9,(D),(D),(D),(D)
9000,Connecticut,6,"      Mining, quarrying, and oil and gas extraction",225.5,156.4,134.6,159.5,166,176.4,177.7,176.6,147.6,150.4,156.7,208,(D),(D),(D),(D)
9000,Connecticut,10,      Utilities,4212,4383.2,4390.8,4270.2,4753.9,4586.3,4365.8,4360.7,4494,4598.3,4838.4,4930.9,4162.5,4696.6,5243.5,5087.3
9000,Connecticut,11,      Construction,7021.7,7152.3,7245.5,7348.8,7254.4,7368.1,7358.6,7432.5,7827.8,7662.8,7556,7452.7,7515.1,6875.7,7434.1,7612.8
9000,Connecticut,12,      Manufacturing,26876,28388,29819.5,31453.2,30941.5,31630.1,33464.8,34362.6,34362.8,34974.7,34830.8,35110.4,33860.8,29224.8,31931.1,32308.4
9000,Connecticut,13,          Durable goods manufacturing,19933.1,20527.5,21063.9,22124.9,22820.2,23140,24552.9,24860.6,25947.8,26298.1,26101.8,26080.8,24430.6,21222.9,23024.7,23549.6
9000,Connecticut,25,          Nondurable goods manufacturing,6942.9,7860.5,8755.6,9328.3,8121.4,8490.1,8911.9,9502,8415,8676.5,8729,9029.6,9430.2,8001.9,8906.4,8758.8
9000,Connecticut,34,      Wholesale trade,14478.4,14428.8,14510.7,14679.6,14525.2,14714.5,14539.9,14683.7,14677.1,14437.5,14780.2,14645,14912.1,13114.9,14942.8,15156.4
9000,Connecticut,35,      Retail trade,13145.6,13407.2,13519,13486,13549.3,13695.5,13752.1,13676.9,13896.7,14003.2,14315.8,14212.3,14187.7,12591.9,14898.5,14755.7
9000,Connecticut,36,      Transportation and warehousing,5306.8,5319.4,5344.5,5449.3,5172.7,5284.9,5374,5396.3,5359.5,5410.8,5541.2,5678.9,5813.7,4414.1,5245.3,5402.7
9000,Connecticut,45,      Information,13478.2,14268,14254.1,14472.7,14330.5,14499.3,15182.7,15428.7,16106,16157.4,16182.1,15881.6,16601.5,14776.6,15626.8,15955.4
9000,Connecticut,51,      Finance and insurance,45935.8,46490.8,46212.6,44283.6,44928.8,43211.1,44357.4,43724.7,43483.7,44677.8,43946.2,44244.1,40530.1,40136.7,40894.4,42377.8
9000,Connecticut,56,      Real estate and rental and leasing,34146.6,35054.8,35528.2,36142.4,37403.9,38083.8,38684.3,38759.3,38971.5,39607.2,39915,40016.2,39352.2,38149.3,39131.1,38770.3
9000,Connecticut,60,"      Professional, scientific, and technical services",18193.8,18723.7,18458.7,18975.7,18978.9,19128.7,19251.2,19237.7,19699.6,19380,19831.6,19768.7,19053.5,18132.5,18901.2,19388.7
9000,Connecticut,64,      Management of companies and enterprises,6168.8,6710.3,6719,6930.5,7082.8,6516,6920.8,6576.1,6938.3,6876.4,7037.2,6957.2,6651.4,6343.1,6177.3,6659
9000,Connecticut,65,      Administrative and support and waste management and remediation services,7197.8,7439.1,7563,7534.4,7451.7,7414.6,7646,7616,7498.7,7657.7,7535,7631.4,7783.5,6755.2,7424.5,7565.1
9000,Connecticut,69,      Educational services,6098,6130.6,6184.8,6193.4,6234.7,6342.8,6451.4,6548.6,6653.9,6741.8,6817.8,6976.7,6827.4,6289.8,6563.1,6342.1
9000,Connecticut,70,      Health care and social assistance,21360,21419.7,21628.3,21766.3,22079,22352.9,22295.6,22507.3,23020.7,22903.7,23269.3,23966.3,23876.3,21014.8,24213.6,24776.7
9000,Connecticut,76,"      Arts, entertainment, and recreation",2452.9,2420.1,2484.5,2472.1,2482,2584.2,2562.4,2625.9,2525.2,2498.5,2512.4,2563.9,2567,1155.8,1735,1916.6
9000,Connecticut,79,      Accommodation and food services,6637.7,6701.9,6699.5,6704.9,6682.3,6726.2,6765.4,6831,7356.1,7370.1,7379,7423.2,6650.5,3448.2,6168.2,5809.8
