,state,"Share with Subprime Credit Score, All","Share with Subprime Credit Score, Communities of Color","Share with Subprime Credit Score, Majority White Communities","Share with Any Debt in Collections, All","Share with Any Debt in Collections, Communities of Color","Share with Any Debt in Collections, Majority White Communities","Median Debt in Collections, All","Median Debt in Collections, Communities of Color","Median Debt in Collections, Majority White Communities","Average Credit Card Utilization, All","Average Credit Card Utilization, Communities of Color","Average Credit Card Utilization, Majority White Communities","Student Loan Delinquency Rate (60+), All","Student Loan Delinquency Rate (60+), Communities of Color","Student Loan Delinquency Rate (60+), Majority White Communities","Credit Card Delinquency Rate (30+), All","Credit Card Delinquency Rate (30+), Communities of Color","Credit Card Delinquency Rate (30+), Majority White Communities","Auto/Retail Loan Delinquency Rate (60+), All","Auto/Retail Loan Delinquency Rate (60+), Communities of Color","Auto/Retail Loan Delinquency Rate (60+), Majority White Communities","Mortgage Delinquency Rate (30+), All","Mortgage Delinquency Rate (30+), Communities of Color","Mortgage Delinquency Rate (30+), Majority White Communities","Share with AFS Credit, All","Share with AFS Credit, Communities of Color","Share with AFS Credit, Majority White Communities","AFS Credit Delinquency Rate (30+), All","AFS Credit Delinquency Rate (30+), Communities of Color","AFS Credit Delinquency Rate (30+), Majority White Communities","Median Credit Score, All","Median Credit Score, Communities of Color","Median Credit Score, Majority White Communities","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities","Share with Medical Debt in Collections, All","Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities"
89,PA,21.58,47.48,17.93,27.0,54.54,23.09,1822,1746,1843,25.13,39.17,23.76,12.81,26.43,10.57,5.26,12.89,4.54,3.03,8.28,2.49,3.06,8.49,2.7,3.66,6.2,3.29,4.37,6.48,3.78,719,601.0,733,543,514,543,11.62,15.91,10.99
90,RI,21.64,37.9,17.9,24.86,40.15,21.23,1789,1663,1837,26.53,35.02,24.95,11.81,17.89,10.53,5.33,10.23,4.5,2.48,4.86,2.17,3.27,3.89,3.11,2.43,3.41,2.22,8.42,13.4,6.21,711,648.0,727,496,480,488,6.27,8.33,5.76
91,SC,31.83,45.5,26.83,41.24,56.33,35.7,2189,2175,2220,29.95,36.83,28.02,16.25,22.03,14.13,6.64,11.11,5.71,7.08,11.61,5.51,3.42,6.33,2.93,6.81,9.04,5.91,7.08,9.94,5.81,671,615.0,684,997,970,1029,26.23,33.38,23.5
92,SD,15.41,46.98,14.09,17.08,48.71,15.68,2174,2549,2143,24.68,33.65,24.45,8.26,19.3,8.04,4.16,7.96,4.08,2.67,14.81,2.31,1.42,0.0,1.37,3.52,4.74,3.5,10.99,0.0,10.86,727,588.0,732,689,0,686,4.65,9.7,4.4
93,TN,28.75,51.91,25.61,35.13,58.4,32.03,1906,2036,1889,28.11,40.71,26.68,15.51,23.81,13.95,5.79,12.56,5.09,5.34,10.81,4.78,2.66,6.67,2.4,5.56,10.5,4.82,14.04,19.57,12.46,678,583.0,694,909,929,920,20.18,25.97,19.83
94,TX,30.96,38.89,22.75,40.83,49.26,32.16,2098,2084,2102,30.41,34.18,27.01,14.59,17.12,12.05,6.57,8.43,4.95,6.63,9.02,4.35,3.39,4.78,2.38,5.89,7.24,4.39,8.92,8.73,8.71,668,642.0,700,1000,1052,972,22.91,25.33,20.37
95,UT,18.58,37.02,17.21,21.74,40.97,20.43,1912,1833,1945,26.14,34.05,25.63,11.18,22.45,10.43,4.0,6.83,3.77,2.97,6.02,2.77,1.83,3.05,1.77,4.32,6.52,4.07,11.32,10.61,11.36,715,651.0,721,997,895,1009,13.85,24.88,13.04
96,VA,23.26,35.1,20.07,27.95,40.93,24.62,1772,1867,1694,26.99,33.36,25.26,11.49,15.55,9.59,5.03,8.04,4.26,3.47,4.93,3.14,2.3,3.34,2.11,4.38,5.74,4.04,7.92,10.17,6.43,709,659.0,725,752,832,715,17.26,24.87,15.39
97,VT,15.41,0.0,15.37,18.9,0.0,18.86,1652,0,1664,23.9,0.0,23.93,8.73,0.0,8.73,4.17,0.0,4.15,2.32,0.0,2.27,2.33,0.0,2.32,0.66,0.0,0.68,15.94,0.0,15.94,730,0.0,730,536,0,536,5.34,0.0,5.33
98,WA,15.72,21.51,14.38,18.27,24.11,16.85,1808,1728,1752,24.93,27.88,24.58,10.49,12.75,9.89,3.92,6.33,3.61,2.25,3.34,2.05,1.28,2.0,1.17,5.65,7.63,5.07,9.06,10.79,8.32,729,695.0,735,600,576,574,5.53,6.74,5.15
99,WI,17.56,49.34,14.74,21.2,54.41,18.26,1743,1684,1756,22.75,36.71,22.06,10.77,24.42,9.24,3.44,9.29,3.13,2.85,8.41,2.49,1.74,4.56,1.64,4.3,11.18,3.73,8.94,9.21,8.81,735,594.0,743,896,925,885,11.51,26.15,10.19
100,WV,30.69,0.0,30.58,40.37,0.0,40.28,1581,0,1568,28.56,0.0,28.45,16.65,0.0,16.46,6.53,0.0,6.47,3.96,0.0,3.93,3.08,0.0,3.07,4.29,0.0,4.28,2.83,0.0,2.9,674,0.0,674,648,0,645,27.24,0.0,27.18
101,WY,22.02,73.08,21.65,26.7,82.69,26.31,2594,0,2668,26.25,0.0,26.2,9.87,0.0,10.03,4.32,0.0,4.3,2.83,0.0,2.74,2.18,0.0,2.15,4.45,5.77,4.38,12.78,0.0,12.8,710,526.0,713,1483,0,1479,18.72,63.46,18.39
102,AK,23.37,33.2,18.51,26.93,31.64,22.3,2145,1360,2240,31.99,40.31,30.57,13.58,18.99,11.64,4.14,7.32,3.19,2.49,2.91,1.68,2.13,5.43,2.08,4.38,8.46,2.67,32.67,20.0,32.17,701,646.0,722,1270,675,1267,14.9,8.72,13.03
103,AL,31.77,49.91,27.12,37.89,56.87,32.93,1959,1936,1972,29.21,37.03,27.77,14.46,22.08,12.05,5.52,9.75,4.8,7.12,12.66,5.89,2.27,3.67,2.11,8.55,13.57,7.2,17.48,22.61,15.5,670,595.0,683,967,1043,929,19.72,27.59,17.8
104,AR,31.26,50.47,28.54,37.78,57.63,34.93,1652,1785,1639,28.8,36.35,27.92,15.05,23.19,13.57,6.08,11.57,5.67,5.06,10.49,4.47,2.32,2.85,2.22,3.04,4.35,2.83,6.2,5.88,5.43,672,596.0,678,645,651,648,19.99,22.66,19.44
105,AZ,24.22,38.03,17.15,31.64,46.44,23.9,2056,2005,2061,25.86,31.97,23.22,14.15,19.46,11.45,4.69,7.64,3.7,3.93,7.02,2.5,1.27,2.24,0.95,5.09,7.63,3.81,9.04,8.78,8.59,694,642.0,728,907,982,869,16.75,22.52,13.26
106,CA,19.29,23.33,13.01,24.03,28.44,17.29,1883,1895,1696,23.66,25.57,20.94,11.24,13.05,8.34,4.62,5.74,3.26,3.54,4.63,1.87,1.27,1.52,0.89,4.68,5.75,2.78,15.53,15.5,14.63,714,690.0,744,773,805,710,9.42,10.39,7.94
107,CO,18.83,32.63,15.4,24.17,39.67,20.18,1676,1414,1720,24.3,30.24,22.96,10.57,14.88,9.09,3.76,6.46,3.25,2.6,4.91,2.07,1.09,2.34,0.89,4.3,7.81,3.4,12.95,17.09,11.14,728,666.0,743,742,652,759,13.23,21.89,11.06
108,CT,19.78,38.37,13.53,25.51,44.79,18.71,1529,1404,1567,24.26,32.9,22.08,9.54,16.98,7.12,4.44,8.88,3.43,2.77,6.19,1.9,2.41,4.62,2.0,1.48,2.77,1.01,9.93,8.33,9.21,725,644.0,748,530,541,504,11.74,17.98,9.19
109,DC,24.24,35.64,6.22,27.89,39.89,8.17,1469,1558,967,24.14,30.84,16.27,12.66,17.4,4.23,4.82,7.65,2.28,6.61,8.72,1.79,1.79,2.89,0.88,2.58,3.76,0.49,8.16,8.25,0.0,707,660.0,761,591,623,500,8.38,11.41,2.75
110,DE,24.47,41.83,19.54,31.42,51.08,25.53,1852,1887,1757,25.68,33.17,23.52,11.27,17.73,8.72,4.88,8.27,3.93,4.28,7.04,3.43,1.99,4.18,1.61,6.03,10.26,4.65,9.94,10.73,9.55,701,630.0,724,757,941,691,17.56,30.56,14.25
111,FL,25.11,31.74,20.5,33.09,39.48,28.45,2227,2283,2188,27.78,32.69,24.68,13.91,15.35,12.46,6.03,8.5,4.59,3.94,5.46,3.05,2.02,2.77,1.61,4.88,5.78,4.15,7.13,7.54,6.84,688,663.0,717,1000,1025,983,18.38,20.18,16.78
112,GA,30.59,40.52,24.57,37.37,48.25,31.14,1969,2053,1876,30.55,36.33,27.86,14.36,17.97,11.58,6.45,9.96,4.88,5.84,8.23,4.51,2.28,3.36,1.82,6.02,8.24,4.66,6.43,7.29,5.67,671,634.0,692,903,868,934,19.23,22.33,17.54
113,HI,15.74,15.81,14.52,18.72,18.66,20.97,1996,1924,0,24.59,24.54,26.37,11.16,10.84,0.0,4.27,4.34,2.82,3.73,3.77,0.0,1.75,1.65,0.0,4.15,4.27,2.42,12.1,12.47,0.0,725,724.0,701,435,436,0,7.29,7.23,7.26
114,IA,17.6,44.59,16.91,21.83,43.24,21.03,1670,1063,1719,22.28,27.92,22.03,10.62,0.0,10.44,3.52,7.27,3.43,2.38,0.0,2.26,1.28,0.0,1.24,2.69,2.7,2.6,6.35,0.0,6.38,732,630.0,735,587,0,592,10.66,13.51,10.27
115,ID,17.75,28.57,17.29,21.75,42.86,21.26,2113,0,2130,24.35,0.0,24.21,10.59,0.0,10.4,3.49,0.0,3.41,2.62,0.0,2.56,0.91,0.0,0.87,6.46,7.94,6.35,11.09,0.0,10.95,719,653.0,721,906,0,904,12.24,23.81,11.92
116,IL,21.68,38.69,16.35,27.76,45.46,22.19,1564,1575,1600,24.33,32.81,22.21,10.98,18.44,8.64,4.33,8.25,3.37,3.76,7.17,2.86,1.92,3.38,1.68,4.2,7.25,3.27,9.75,11.04,8.98,715,644.0,739,616,630,615,13.98,19.41,12.24
117,IN,25.23,45.77,22.61,31.35,53.01,28.6,1889,1865,1876,26.05,35.43,25.25,14.05,23.09,12.6,4.49,8.62,4.13,3.84,9.64,3.29,1.88,4.08,1.75,5.54,9.1,5.09,6.54,7.57,6.14,690,611.0,703,798,702,818,19.48,30.76,18.09
118,KS,22.1,39.48,19.02,27.54,47.13,24.21,1726,1570,1722,24.18,31.17,23.18,12.69,25.77,11.22,3.56,6.61,3.2,2.54,3.7,2.24,1.51,1.9,1.41,4.05,6.14,3.6,7.52,10.53,6.74,712,640.0,725,817,851,800,17.75,30.76,15.64
119,KY,27.92,61.8,26.38,35.31,69.14,33.77,1340,1074,1355,26.02,39.84,25.51,15.5,26.58,15.05,4.97,13.94,4.72,4.41,9.56,4.18,2.08,5.56,2.04,5.17,7.51,4.94,5.71,1.1,5.51,677,552.0,683,521,621,505,19.24,40.02,18.51
120,LA,33.18,45.95,27.7,41.88,55.84,36.06,1915,1899,1946,29.71,34.74,28.09,15.34,18.88,12.99,5.88,8.74,5.07,6.55,10.08,5.1,2.96,4.75,2.44,6.64,9.47,5.4,17.54,20.67,14.67,667,611.0,682,850,800,892,23.22,27.61,21.22
121,MA,15.44,30.8,12.37,18.82,35.05,15.7,1584,1500,1646,21.63,30.04,20.49,7.78,13.38,6.58,4.01,7.64,3.36,2.59,6.13,2.08,1.61,3.02,1.54,1.52,3.77,1.14,9.63,8.72,10.74,737,665.0,749,385,412,366,4.28,6.17,3.92
122,MD,23.19,32.03,17.15,28.29,38.01,21.73,1588,1713,1450,27.02,33.14,23.88,11.69,14.48,9.07,5.3,7.68,4.0,4.07,5.74,2.92,2.12,3.45,1.6,3.53,4.97,2.63,6.32,7.05,5.29,706,665.0,736,508,551,465,13.24,17.07,10.82
123,ME,19.79,0.0,19.75,27.95,0.0,27.9,1711,0,1718,24.8,0.0,24.8,9.49,0.0,9.42,3.96,0.0,3.93,1.98,0.0,2.01,2.03,0.0,2.02,3.05,0.0,3.07,5.17,0.0,5.21,718,0.0,719,901,0,914,19.02,0.0,19.02
124,MI,22.64,50.58,18.6,29.35,59.59,24.97,1517,1799,1422,24.25,37.55,23.12,13.73,28.92,11.13,4.13,10.73,3.52,3.78,12.49,2.94,1.31,3.12,1.21,4.09,9.19,3.33,7.11,7.28,6.81,713,585.0,728,487,463,495,15.23,23.71,13.87
125,MN,12.61,29.45,11.57,14.68,33.93,13.47,1739,1636,1764,21.3,29.38,20.89,8.02,18.91,7.31,2.92,5.97,2.78,2.03,5.44,1.85,1.24,2.15,1.21,2.06,3.55,1.95,5.58,8.08,5.25,744,669.0,748,431,506,425,2.46,4.62,2.32
126,MO,25.35,53.54,21.96,32.48,62.57,28.8,1977,2202,1932,25.07,35.43,24.15,12.95,22.56,11.65,4.35,9.94,3.88,4.47,10.62,3.85,1.73,4.9,1.56,6.16,12.33,5.39,9.8,12.26,9.09,697,579.0,713,860,1090,821,19.44,35.5,17.49
127,MS,33.66,46.53,27.69,38.98,51.5,32.84,1792,1837,1763,31.81,36.58,30.42,16.64,21.51,13.76,7.68,11.55,6.43,7.3,10.64,5.53,3.38,5.05,2.67,7.47,9.31,6.54,14.28,15.85,12.98,659,607.0,675,890,1017,839,19.17,22.05,17.26
128,MT,18.02,47.99,16.81,22.31,53.7,21.11,1742,1936,1763,24.28,37.22,23.99,11.52,29.82,10.9,3.04,8.03,3.0,2.92,16.67,2.46,1.11,0.0,1.03,2.54,4.86,2.39,5.42,0.0,4.53,723,601.0,728,799,1096,796,13.44,27.48,12.86
129,NC,26.36,37.08,22.26,35.26,47.45,30.62,1674,1723,1633,27.06,32.18,25.27,12.24,15.5,10.14,5.45,8.69,4.65,4.5,6.87,3.66,1.91,3.07,1.62,5.3,7.1,4.51,5.43,5.68,5.68,688,646.0,711,735,701,765,22.43,28.01,20.25
130,ND,15.11,37.95,14.36,17.28,41.91,16.46,2211,1813,2254,24.33,38.02,24.11,8.46,0.0,8.44,3.18,7.69,3.1,2.08,9.8,1.89,1.4,0.0,1.42,4.53,5.28,4.45,10.71,0.0,10.82,732,629.0,734,679,0,662,7.42,13.2,7.2
131,NE,16.56,34.87,14.46,19.72,40.48,17.32,2020,1993,2130,23.0,29.56,22.38,7.76,17.5,7.18,3.36,8.49,3.12,2.33,5.17,2.02,1.08,2.08,1.07,3.39,5.81,3.14,6.47,2.41,6.96,729,648.0,738,631,510,649,7.99,14.5,7.04
132,NH,14.98,0.0,14.97,19.7,0.0,19.65,1717,0,1717,23.1,0.0,23.12,8.47,0.0,8.41,3.82,0.0,3.79,2.34,0.0,2.31,1.77,0.0,1.76,2.23,0.0,2.22,4.72,0.0,4.78,734,0.0,734,533,0,536,7.88,0.0,7.86
133,NJ,19.58,31.54,13.29,25.18,37.79,18.57,1348,1238,1458,23.64,28.76,21.49,9.95,14.62,7.33,4.58,7.33,3.47,3.05,5.49,2.07,2.4,3.31,2.15,2.29,3.19,1.73,8.81,9.18,8.26,720,668.0,745,526,546,503,13.52,19.98,10.19
134,NM,27.26,32.43,16.64,35.25,40.96,23.03,1774,1752,1798,27.31,29.63,21.48,15.78,18.2,12.14,5.05,5.79,3.74,5.93,7.72,2.92,2.19,2.61,0.69,8.17,10.11,4.11,10.0,10.54,12.0,675,659.0,736,774,759,792,18.65,20.94,12.94
135,NV,28.4,39.68,19.49,35.65,47.47,26.01,2157,2012,2142,28.5,32.94,25.1,16.34,21.66,12.33,6.18,9.23,4.14,4.9,7.72,2.95,1.39,2.4,0.94,10.4,13.73,7.04,17.76,19.75,15.57,675,638.0,720,927,907,1009,19.55,24.77,15.59
136,NY,18.64,26.44,14.45,22.47,30.02,18.57,1775,1748,1839,24.14,29.68,21.84,10.37,14.49,8.18,5.05,8.1,3.63,3.1,5.55,2.24,2.23,3.72,1.88,1.61,2.24,1.35,4.25,4.67,3.45,722,676.0,743,478,436,496,6.57,5.85,7.16
137,OH,24.72,49.48,21.24,31.98,57.4,28.38,1528,1546,1521,24.71,35.5,23.69,13.0,22.56,11.29,4.53,9.3,4.04,3.67,9.33,3.05,1.7,3.68,1.57,7.57,12.8,6.86,8.07,10.83,7.3,700,596.0,716,626,679,618,17.23,23.23,16.29
138,OK,30.31,49.74,26.96,37.11,57.23,33.79,2160,1969,2158,28.43,33.22,27.63,17.02,32.73,14.64,5.38,9.59,5.03,5.4,9.39,4.95,2.1,2.03,2.03,5.44,6.66,5.04,14.03,15.53,13.13,673,589.0,679,1097,1150,1064,22.15,34.15,20.39
139,OR,16.42,0.0,15.74,19.51,0.0,18.78,1578,0,1597,23.45,0.0,23.23,12.13,0.0,11.63,3.39,0.0,3.33,1.86,0.0,1.77,1.01,0.0,1.02,3.38,0.0,3.3,8.2,0.0,8.13,726,0.0,729,585,0,585,7.14,0.0,6.84
140,PA,20.7,45.81,17.15,26.86,54.11,23.03,1811,1737,1836,23.92,35.55,22.78,11.86,24.17,9.82,4.42,10.89,3.81,2.95,7.94,2.43,2.2,5.76,1.96,3.71,6.37,3.33,4.44,6.21,3.82,723,609.0,737,540,506,542,11.64,15.65,11.05
141,RI,20.26,35.09,16.83,24.35,39.52,20.77,1705,1527,1805,24.74,31.62,23.48,10.7,16.79,9.43,4.36,8.59,3.66,2.74,5.4,2.36,2.14,2.2,2.09,2.38,3.36,2.15,8.72,11.7,6.83,718,655.0,731,543,495,541,6.16,8.35,5.59
142,SC,30.99,44.61,25.95,41.35,56.59,35.65,2169,2156,2196,28.5,34.35,26.69,14.83,19.66,12.7,5.61,9.49,4.82,6.96,11.88,5.2,2.29,4.36,1.9,6.93,9.27,5.99,6.37,8.7,5.64,673,617.0,689,988,975,1016,26.32,33.5,23.38
143,SD,14.85,44.66,13.58,16.86,49.24,15.4,2212,2192,2261,24.19,32.6,23.99,7.69,17.24,7.52,3.71,9.26,3.62,2.48,12.95,2.16,1.25,0.0,1.25,3.52,4.79,3.5,10.45,0.0,10.05,731,598.0,735,690,0,690,4.59,9.59,4.31
144,TN,28.18,51.07,25.0,35.04,58.08,31.95,1910,1996,1897,26.95,37.94,25.7,14.29,21.68,12.92,4.86,9.98,4.32,5.28,11.74,4.59,1.93,4.08,1.76,5.66,10.67,4.91,13.75,20.39,11.94,682,586.0,698,926,943,934,20.23,27.17,19.71
145,TX,30.36,38.18,22.34,40.89,49.27,32.26,2153,2138,2160,28.99,32.32,26.05,13.33,15.59,11.02,5.59,7.18,4.29,6.4,8.77,4.1,2.13,2.96,1.56,5.97,7.35,4.43,7.61,7.37,7.67,671,644.0,705,1012,1057,990,22.97,25.33,20.49
146,UT,17.67,35.66,16.34,21.57,41.26,20.27,1960,1759,1984,24.71,31.44,24.24,9.74,18.81,9.04,3.59,6.36,3.41,2.58,6.19,2.43,1.15,2.94,1.12,4.39,7.09,4.13,10.0,12.68,9.72,720,654.0,724,992,836,1008,13.84,24.68,13.04
147,VA,22.5,34.06,19.32,27.86,40.82,24.45,1778,1872,1684,25.62,31.31,24.09,10.45,14.62,8.55,4.24,6.63,3.62,3.17,4.58,2.82,1.63,2.27,1.58,4.39,5.81,4.05,6.3,7.26,5.57,715,662.0,729,766,843,726,17.04,24.64,15.18
148,VT,14.54,0.0,14.48,18.76,0.0,18.7,1708,0,1715,22.69,0.0,22.72,7.45,0.0,7.53,3.55,0.0,3.53,2.19,0.0,2.12,1.73,0.0,1.76,0.66,0.0,0.68,14.71,0.0,14.71,734,0.0,735,553,0,553,5.65,0.0,5.64
149,WA,14.97,20.51,13.69,18.04,23.78,16.63,1846,1737,1795,23.47,25.99,23.22,9.6,12.33,9.04,3.28,5.3,2.99,2.23,2.85,2.03,0.93,1.36,0.86,5.75,7.71,5.16,8.81,10.36,8.22,734,700.0,739,613,643,586,5.45,6.3,5.09
150,WI,17.03,48.21,14.25,21.02,53.65,18.12,1768,1647,1805,21.84,33.93,21.22,9.71,21.86,8.3,2.9,7.88,2.63,2.75,8.71,2.36,1.21,3.79,1.12,4.39,11.52,3.78,8.13,8.46,8.05,738,599.0,746,909,943,895,11.31,25.26,10.04
151,WV,29.72,0.0,29.61,40.32,0.0,40.22,1593,0,1581,27.05,0.0,26.97,15.19,0.0,15.08,5.35,0.0,5.3,4.02,0.0,3.98,2.51,0.0,2.51,4.4,0.0,4.39,3.28,0.0,3.27,675,0.0,675,647,0,645,26.95,0.0,26.88
152,WY,21.31,72.55,20.88,26.49,82.35,26.08,2533,0,2543,25.56,0.0,25.59,9.55,0.0,9.74,3.91,0.0,3.82,2.71,0.0,2.64,1.3,0.0,1.25,4.35,5.88,4.27,13.44,0.0,13.5,715,0.0,716,1492,0,1485,18.49,62.75,18.16
153,AK,23.09,33.86,17.95,27.02,31.62,22.13,2173,1353,2187,31.34,39.96,29.77,13.68,19.74,12.01,3.63,6.19,2.71,2.32,1.69,1.58,1.65,5.1,1.13,4.35,8.43,2.75,32.74,20.31,33.33,701,648.0,723,1318,684,1334,14.83,8.83,12.66
154,AL,31.14,48.74,26.61,37.47,56.51,32.54,1972,1991,1974,29.66,37.33,28.22,13.82,20.92,11.55,5.33,8.75,4.73,6.4,11.82,5.26,2.44,3.88,2.11,8.65,13.81,7.26,17.29,22.79,15.51,671,599.0,685,978,1103,928,19.53,27.93,17.49
155,AR,30.85,48.63,28.29,37.7,57.54,34.91,1646,1737,1636,29.13,36.47,28.29,14.34,21.9,12.81,5.96,10.98,5.57,4.51,8.97,3.92,2.19,2.41,2.06,3.23,4.34,3.03,5.89,4.61,5.25,672,599.0,677,642,662,646,19.81,21.64,19.34
156,AZ,23.68,37.32,16.71,31.22,46.03,23.57,2069,2020,2059,25.94,32.01,23.27,13.44,18.47,10.76,4.39,7.1,3.47,3.53,6.33,2.2,1.23,2.32,0.88,5.13,7.84,3.77,8.56,8.33,8.29,696,644.0,729,922,980,882,16.58,22.43,13.1
157,CA,18.77,22.72,12.7,23.77,28.17,17.08,1897,1910,1703,23.54,25.31,21.02,10.79,12.56,8.11,4.17,5.16,3.0,3.03,3.94,1.62,1.14,1.39,0.86,4.7,5.79,2.78,14.94,14.89,13.82,716,692.0,744,760,787,701,9.19,10.11,7.81
158,CO,18.47,32.45,15.05,23.76,39.54,19.74,1699,1421,1759,24.71,30.56,23.37,10.33,15.15,8.83,3.57,5.92,3.1,2.37,4.42,1.91,1.07,2.32,0.88,4.38,7.85,3.48,12.93,17.2,10.73,729,667.0,743,742,640,766,13.1,21.91,10.9
159,CT,19.27,37.73,13.03,25.13,44.57,18.3,1539,1405,1593,24.7,33.48,22.47,9.23,16.29,6.92,4.21,8.44,3.19,2.16,4.75,1.44,2.18,3.91,1.87,1.51,2.85,1.05,8.55,7.01,7.65,726,646.0,748,520,520,498,11.47,17.55,8.93
160,DC,23.48,34.46,5.89,27.09,38.61,7.86,1492,1555,962,24.23,30.81,16.35,12.31,16.08,5.02,4.35,6.74,1.88,5.79,7.49,1.55,1.2,2.05,0.88,2.65,3.87,0.4,4.88,6.19,0.0,710,663.0,763,568,585,500,8.12,10.92,2.77
161,DE,23.92,40.63,19.04,31.12,50.35,25.42,1850,1874,1735,25.51,33.8,23.21,10.83,17.5,8.71,4.56,6.65,3.91,3.94,7.29,3.12,2.1,3.73,1.72,6.14,10.21,4.73,9.0,9.91,8.32,703,637.0,725,747,923,691,17.44,29.67,14.38
162,FL,24.86,31.4,20.28,33.12,39.54,28.41,2209,2283,2151,27.81,32.26,24.93,13.04,14.62,11.62,5.67,7.93,4.33,3.45,4.82,2.63,1.94,2.49,1.61,4.92,5.83,4.18,7.01,7.41,6.55,689,664.0,717,1021,1052,1005,18.35,20.19,16.68
163,GA,29.86,39.35,24.08,36.91,47.39,30.73,1999,2101,1915,30.61,35.92,28.11,13.65,16.93,10.97,5.99,9.19,4.57,5.12,7.02,4.07,2.27,3.27,1.82,6.05,8.22,4.7,6.23,6.89,5.73,672,637.0,693,935,906,967,18.92,21.73,17.36
164,HI,15.85,15.9,19.35,19.16,19.12,22.58,1896,1810,0,24.46,24.52,27.78,10.76,10.4,0.0,4.06,4.04,2.78,3.34,3.41,0.0,1.65,1.6,0.0,4.14,4.26,2.42,12.2,12.59,0.0,725,724.0,706,439,442,0,7.3,7.17,7.26
165,IA,17.58,46.26,16.88,21.94,44.9,21.17,1667,1037,1698,22.75,27.75,22.51,10.27,0.0,10.03,3.33,11.54,3.23,2.18,0.0,2.08,1.52,0.0,1.46,2.75,2.72,2.66,6.28,0.0,6.31,731,630.0,734,591,0,592,10.56,10.2,10.22
166,ID,17.67,31.34,17.2,21.78,43.28,21.24,2265,0,2309,24.78,0.0,24.64,10.25,0.0,10.01,3.47,0.0,3.38,2.46,0.0,2.41,1.06,0.0,1.03,6.41,8.96,6.29,10.99,0.0,10.57,719,652.0,721,1057,0,1061,12.88,25.37,12.53
167,IL,21.45,37.85,16.3,27.77,45.14,22.31,1586,1588,1626,24.64,32.36,22.73,10.57,17.59,8.34,4.08,7.53,3.23,3.32,6.38,2.54,1.95,3.16,1.77,4.27,7.35,3.31,9.29,10.88,8.49,715,646.0,738,633,634,638,14.29,19.67,12.59
168,IN,25.16,45.95,22.51,31.33,53.2,28.54,1889,1855,1891,26.59,36.15,25.79,13.76,22.81,12.36,4.35,8.1,4.01,3.47,7.82,3.02,2.02,4.11,1.9,5.61,9.21,5.18,6.79,8.06,6.2,690,610.0,704,813,731,832,19.49,30.99,18.07
169,KS,21.98,39.45,18.87,27.4,46.65,24.07,1735,1503,1779,24.64,31.84,23.66,12.25,23.42,10.89,3.64,7.02,3.28,2.28,4.17,2.0,1.52,1.88,1.44,4.09,5.95,3.69,7.84,14.46,7.25,712,645.0,724,820,854,811,17.68,29.92,15.62
170,KY,27.48,60.5,25.95,35.19,68.46,33.67,1320,1071,1327,26.34,38.82,25.84,14.58,23.53,14.23,4.9,13.8,4.66,4.09,6.86,3.88,2.0,7.21,1.94,5.22,7.97,4.97,5.56,3.13,5.5,677,552.0,684,500,594,491,18.98,38.42,18.27
171,LA,32.63,45.09,27.32,41.54,55.45,35.77,1923,1912,1955,29.91,34.58,28.4,14.47,17.86,12.27,5.54,7.74,4.92,5.87,8.95,4.59,2.82,3.92,2.45,6.68,9.57,5.45,17.55,20.82,14.69,668,615.0,683,844,800,883,22.87,27.11,20.94
172,MA,15.02,30.12,12.0,18.76,34.97,15.68,1597,1458,1661,21.83,30.22,20.7,7.61,13.38,6.4,3.7,6.92,3.12,2.19,4.93,1.8,1.49,2.82,1.4,1.57,3.83,1.18,9.88,7.62,11.67,738,666.0,749,384,405,369,4.61,7.02,4.19
173,MD,22.6,31.11,16.81,27.75,37.35,21.32,1611,1722,1490,27.07,33.02,24.07,10.9,13.68,8.34,4.78,6.87,3.56,3.54,4.94,2.57,2.01,3.1,1.52,3.61,5.04,2.68,7.31,7.83,6.71,707,667.0,736,510,553,475,12.92,16.68,10.55
174,ME,19.51,0.0,19.5,27.93,0.0,27.89,1747,0,1759,25.03,0.0,25.04,8.98,0.0,8.93,3.71,0.0,3.71,1.9,0.0,1.92,1.83,0.0,1.83,3.09,0.0,3.1,4.79,0.0,4.69,719,0.0,719,933,0,938,19.26,0.0,19.24
175,MI,21.92,48.89,18.02,28.82,58.63,24.5,1515,1769,1430,24.4,36.75,23.32,13.16,27.87,10.65,3.61,8.83,3.14,3.39,11.33,2.61,1.26,2.39,1.19,4.1,9.29,3.33,6.6,7.43,6.2,714,592.0,729,486,464,494,14.89,23.22,13.53
176,MN,12.22,28.53,11.19,14.4,34.0,13.18,1777,1689,1791,21.74,30.48,21.31,7.73,18.41,7.05,2.79,6.34,2.63,1.8,4.87,1.62,1.14,1.25,1.1,2.09,3.48,1.98,6.77,6.12,6.61,744,668.0,748,418,541,406,2.47,4.72,2.33
177,MO,24.86,51.82,21.64,31.94,61.1,28.42,2046,2357,1975,25.55,35.81,24.63,12.24,21.65,10.99,4.27,9.16,3.86,4.08,9.76,3.48,1.64,4.0,1.5,6.29,12.81,5.49,10.04,10.84,9.52,699,585.0,713,874,1127,829,19.17,35.76,17.21
