,state,"Share with Subprime Credit Score, All","Share with Subprime Credit Score, Communities of Color","Share with Subprime Credit Score, Majority White Communities","Share with Any Debt in Collections, All","Share with Any Debt in Collections, Communities of Color","Share with Any Debt in Collections, Majority White Communities","Median Debt in Collections, All","Median Debt in Collections, Communities of Color","Median Debt in Collections, Majority White Communities","Average Credit Card Utilization, All","Average Credit Card Utilization, Communities of Color","Average Credit Card Utilization, Majority White Communities","Student Loan Delinquency Rate (60+), All","Student Loan Delinquency Rate (60+), Communities of Color","Student Loan Delinquency Rate (60+), Majority White Communities","Credit Card Delinquency Rate (30+), All","Credit Card Delinquency Rate (30+), Communities of Color","Credit Card Delinquency Rate (30+), Majority White Communities","Auto/Retail Loan Delinquency Rate (60+), All","Auto/Retail Loan Delinquency Rate (60+), Communities of Color","Auto/Retail Loan Delinquency Rate (60+), Majority White Communities","Mortgage Delinquency Rate (30+), All","Mortgage Delinquency Rate (30+), Communities of Color","Mortgage Delinquency Rate (30+), Majority White Communities","Share with AFS Credit, All","Share with AFS Credit, Communities of Color","Share with AFS Credit, Majority White Communities","AFS Credit Delinquency Rate (30+), All","AFS Credit Delinquency Rate (30+), Communities of Color","AFS Credit Delinquency Rate (30+), Majority White Communities","Median Credit Score, All","Median Credit Score, Communities of Color","Median Credit Score, Majority White Communities","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities","Share with Medical Debt in Collections, All","Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities"
286,NJ,18.3,30.06,12.2,24.35,36.68,17.94,1352,1286,1430,24.94,30.52,22.68,9.0,13.59,6.64,3.52,5.72,2.62,2.43,4.63,1.6,1.73,2.37,1.5,2.43,3.48,1.85,9.76,9.88,9.07,719,669.0,743,531,553,500,13.06,19.33,9.81
287,NM,25.92,31.05,15.3,34.37,40.13,22.45,1722,1658,1776,28.64,31.29,22.82,14.62,16.64,12.01,4.34,4.92,2.94,5.11,6.28,2.41,2.14,2.67,1.0,8.56,10.61,3.96,9.08,8.53,11.49,675,662.0,736,741,726,750,18.02,20.33,12.35
288,NV,27.16,37.76,18.53,34.88,46.05,25.78,2150,1969,2192,30.11,35.24,26.46,14.75,20.47,11.04,5.14,7.03,3.69,3.97,6.31,2.36,1.07,1.51,0.82,9.34,12.61,6.18,18.72,20.37,16.62,676,644.0,718,909,841,1055,18.68,23.28,15.35
289,NY,17.73,25.08,13.77,21.97,29.28,18.13,1734,1725,1789,25.66,31.13,23.45,9.5,13.21,7.51,3.96,6.12,2.96,2.64,4.5,1.97,1.8,2.63,1.6,1.73,2.46,1.42,3.75,4.68,2.85,720,675.0,740,484,450,496,6.48,5.74,7.06
290,OH,24.1,47.91,20.73,31.54,56.43,28.0,1501,1459,1507,26.71,37.12,25.68,11.68,20.39,10.17,4.02,8.14,3.61,3.49,8.81,2.91,1.53,3.22,1.43,7.71,12.96,6.98,8.55,11.49,7.78,696,603.0,713,678,696,669,16.95,22.52,16.07
291,OK,29.69,48.54,26.52,36.88,56.11,33.6,2227,2216,2211,30.12,36.55,29.41,15.15,27.95,13.25,4.75,7.52,4.46,4.7,7.33,4.3,2.21,3.85,2.04,5.72,6.89,5.3,14.22,13.72,13.64,672,597.0,678,1176,1287,1148,22.66,34.93,20.76
292,OR,15.35,0.0,14.74,18.67,0.0,17.97,1532,0,1551,24.53,0.0,24.33,10.66,0.0,10.2,2.99,0.0,2.93,1.87,0.0,1.79,0.62,0.0,0.58,3.49,0.0,3.4,8.74,0.0,8.83,725,0.0,728,625,0,642,6.17,0.0,5.88
293,PA,19.52,42.69,16.3,26.05,52.18,22.4,1795,1756,1809,25.5,37.56,24.3,10.75,21.24,8.96,3.61,8.16,3.19,2.48,5.75,2.1,1.88,4.01,1.73,3.87,6.91,3.44,4.39,4.74,4.03,722,622.0,734,583,585,582,11.51,16.22,10.83
294,RI,19.44,32.87,16.3,24.18,38.05,20.88,1681,1547,1732,26.43,34.2,24.93,9.69,14.75,8.57,3.59,6.28,3.03,2.85,4.84,2.35,1.95,1.79,1.89,2.63,4.19,2.26,7.83,11.02,5.78,717,658.0,731,584,595,568,6.1,8.24,5.5
295,SC,29.79,43.24,24.93,40.21,55.67,34.56,2119,2047,2159,30.06,36.62,28.23,13.14,18.75,11.08,5.0,7.74,4.15,5.91,10.37,4.43,1.98,3.53,1.67,7.14,9.72,6.15,6.71,7.67,6.03,674,622.0,690,957,883,997,24.92,30.96,22.2
296,SD,14.11,43.3,12.93,16.32,47.69,14.94,2185,1707,2212,25.34,37.0,25.13,6.89,12.0,6.85,3.35,5.56,3.35,2.14,9.35,1.94,1.29,0.0,1.31,3.58,4.4,3.56,11.32,0.0,10.75,729,606.0,734,726,0,726,4.17,8.57,3.95
297,TN,27.29,49.12,24.34,34.42,57.28,31.42,1959,2250,1920,28.52,39.08,27.25,12.93,19.74,11.74,4.42,9.41,3.93,4.49,10.94,3.8,1.89,4.45,1.73,5.88,11.08,5.03,13.48,18.17,11.88,682,594.0,697,996,1143,986,20.49,30.1,19.74
298,TX,29.78,37.71,21.81,40.67,49.34,31.92,2131,2104,2157,30.64,33.99,27.68,11.78,13.7,9.69,4.83,6.16,3.81,5.57,7.5,3.67,1.85,2.51,1.35,6.28,7.73,4.64,8.03,7.8,8.11,671,645.0,702,1068,1122,1025,22.67,25.26,20.09
299,UT,17.07,35.32,15.86,21.0,40.51,19.72,1992,1727,2049,26.6,34.98,26.06,9.44,17.76,9.17,3.22,7.26,3.08,2.6,8.53,2.37,1.1,0.56,1.15,4.43,6.56,4.22,9.83,14.93,9.74,718,650.0,722,1012,979,1024,13.66,25.05,12.89
300,VA,21.39,32.56,18.48,26.94,39.49,23.69,1785,1930,1666,27.23,32.78,25.79,9.45,13.65,7.67,3.59,5.73,3.09,3.01,4.31,2.68,1.44,1.95,1.44,4.5,6.05,4.12,7.5,8.48,6.98,713,665.0,727,790,921,743,16.48,24.22,14.66
301,VT,13.15,0.0,13.1,17.77,0.0,17.68,1674,0,1685,23.84,0.0,23.85,6.88,0.0,6.83,2.69,0.0,2.72,1.85,0.0,1.86,1.42,0.0,1.44,0.63,0.0,0.64,13.64,0.0,13.64,735,0.0,735,581,0,574,5.42,0.0,5.39
302,WA,14.18,19.44,12.99,17.47,23.38,16.07,1846,1732,1808,24.68,26.56,24.49,9.01,11.23,8.37,2.88,4.01,2.69,1.94,2.29,1.81,0.82,0.98,0.78,5.84,7.83,5.22,8.71,9.61,8.49,733,701.0,737,604,655,577,5.35,6.43,4.94
303,WI,16.52,47.57,13.75,20.94,53.18,18.07,1687,1465,1743,23.27,35.3,22.62,8.75,19.3,7.54,2.6,6.02,2.42,2.62,8.53,2.22,1.11,2.85,1.04,4.47,11.95,3.83,8.69,8.31,8.78,735,602.0,743,904,888,905,11.03,23.3,9.88
304,WV,29.17,0.0,29.04,40.03,0.0,39.96,1583,0,1572,29.55,0.0,29.51,13.81,0.0,13.8,4.83,0.0,4.81,3.73,0.0,3.73,2.81,0.0,2.82,4.65,0.0,4.64,3.83,0.0,3.84,675,0.0,675,669,0,662,27.0,0.0,26.97
305,WY,20.41,64.71,20.08,26.05,78.43,25.7,2532,0,2532,27.03,0.0,27.03,8.74,0.0,9.04,3.28,0.0,3.2,2.95,0.0,2.86,1.35,0.0,1.3,4.37,5.88,4.34,12.91,0.0,12.8,713,0.0,714,1563,0,1535,18.28,54.9,17.99
306,AK,22.18,31.21,17.3,26.31,30.15,21.6,2099,1295,2284,30.99,37.79,29.46,10.99,11.43,9.18,3.48,3.59,2.95,2.27,0.57,2.23,1.82,6.38,1.73,4.2,8.1,2.69,32.27,21.31,33.56,704,652.0,724,1311,611,1395,14.65,8.9,12.62
307,AL,30.07,47.54,25.6,36.92,55.78,32.11,1952,1973,1921,29.81,37.05,28.38,12.14,18.67,9.98,4.97,8.61,4.34,6.12,10.7,4.97,2.38,3.74,2.11,8.71,13.97,7.24,16.64,21.45,14.87,672,605.0,684,982,1103,927,19.36,27.53,17.39
308,AR,29.61,47.53,27.08,37.23,56.52,34.47,1675,1836,1646,28.94,36.8,28.07,13.0,19.51,11.83,5.65,11.18,5.19,4.88,8.71,4.35,1.94,2.53,1.87,3.56,4.65,3.39,5.44,6.75,5.0,673,603.0,677,662,741,654,19.87,23.42,19.15
309,AZ,22.34,35.21,15.84,30.11,44.54,22.8,2055,1977,2052,26.13,32.76,23.24,12.04,16.37,9.85,3.91,6.51,3.04,3.71,6.33,2.43,1.13,2.21,0.74,5.37,8.18,3.98,8.99,8.85,8.86,697,648.0,730,938,988,894,15.87,21.66,12.54
310,CA,17.58,21.39,11.7,23.12,27.51,16.37,1860,1878,1698,23.3,25.24,20.52,9.71,11.26,7.45,3.44,4.22,2.48,2.76,3.47,1.59,0.97,1.16,0.75,4.75,5.88,2.76,14.42,14.36,14.06,716,693.0,744,743,773,666,8.62,9.53,7.21
311,CO,17.33,30.52,14.05,23.2,38.56,19.3,1635,1362,1692,24.5,31.11,23.03,9.46,14.03,8.1,3.25,5.47,2.83,2.55,4.17,2.1,1.01,1.9,0.8,4.51,7.93,3.63,13.98,19.26,11.38,728,668.0,743,741,637,757,12.51,21.04,10.44
312,CT,17.9,35.4,12.1,24.12,42.63,17.77,1519,1438,1530,24.41,33.37,22.09,8.17,14.58,6.18,3.52,7.37,2.61,2.4,6.08,1.53,1.87,2.34,1.75,1.59,3.2,1.07,8.53,8.85,7.36,727,653.0,749,550,601,501,11.07,16.95,8.66
